"package","version"
"R","3.6.1"
"grDevices","3.6.1"
"graphics","3.6.1"
"utils","3.6.1"
"stats","3.6.1"
"methods","3.6.1"
"rlang","0.4.5"
"tools","3.6.1"
"assertthat","0.2.1"
"bit","1.1-15.2"
"crayon","1.3.4"
"digest","0.6.25"
"ellipsis","0.3.0"
"fansi","0.4.1"
"glue","1.3.2"
"grid","3.6.1"
"Rcpp","1.0.4"
"cli","2.0.2"
"colorspace","1.4-1"
"fastmatch","1.1-0"
"ff","2.2-14"
"lattice","0.20-40"
"rJava","0.9-11"
"triebeard","0.3.0"
"utf8","1.1.4"
"vctrs","0.2.4"
"DatabaseConnectorJars","1.1.0"
"DBI","1.1.0"
"farver","2.0.3"
"ffbase","0.12.8"
"labeling","0.3"
"lifecycle","0.2.0"
"Matrix","1.2-18"
"munsell","0.5.0"
"nlme","3.1-145"
"pillar","1.4.3"
"pkgconfig","2.0.3"
"R6","2.4.1"
"RColorBrewer","1.1-2"
"splines","3.6.1"
"SqlRender","1.6.4"
"urltools","1.7.3"
"viridisLite","0.3.0"
"DatabaseConnector","2.4.3"
"gtable","0.3.0"
"isoband","0.2.0"
"jsonlite","1.6.1"
"MASS","7.3-51.5"
"mgcv","1.8-31"
"plyr","1.8.6"
"scales","1.1.0"
"snow","0.4-3"
"survival","3.1-11"
"tibble","2.1.3"
"withr","2.1.2"
"XML","3.99-0.3"
"Cyclops","2.0.2"
"FeatureExtraction","2.2.6"
"ggplot2","3.3.0"
"gridExtra","2.3"
"ParallelLogger","1.1.3"
"CohortMethod","3.1.2"
"CensoringSensAnalysis","0.1.0"
